conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1596535050262106114","Mon Nov 28 07:19:23 +0000 2022","0","@EZGoing9 @nafshx @mitawl_ @stormysea__ Ya kamu gk tau itu pas awalnya Qatar bolehin pas mereka nyalon jadi host tapi pas kepilih malah gk boleh. Pantes kan dikritik? Dan balik lagi kalo hak orang untuk nunjukin ketidaksenangan mereka ya make atribut pelangi salah satu bentuk kritik me5","1597128002613440513","","EZGoing9","in","Jakarta Capital Region","0","2","0","https://twitter.com/LocalOnichan/status/1597128002613440513","1235656704013950976","LocalOnichan"
"1596777741738684416","Mon Nov 28 07:16:27 +0000 2022","0","@Subur0204 Apa benar info tentang Qatar yg konon memperbolehkan lagi bendera pelangi dipiala dunia","1597127264076201984","","Subur0204","in","","0","0","0","https://twitter.com/dimaz_prasongko/status/1597127264076201984","1501030285840105473","dimaz_prasongko"
"1596535050262106114","Mon Nov 28 07:15:11 +0000 2022","0","@LocalOnichan @nafshx @mitawl_ @stormysea__ Lohh udh dikasi tau duluan loh peraturannya tp masih aja bawa atribut pelangi bahkan ada loh yg nyembunyiin pake jaket nya buat maksa2 bawa masuk kyak menteri luar negeri dri negara lain kmrn bnyak lohh yg maksa2 qatar buat cabut peraturan bawa atrbt plngi nmnya intervensi dong","1597126943291236352","","LocalOnichan","in","","0","1","0","https://twitter.com/EZGoing9/status/1597126943291236352","1214910861640224769","EZGoing9"
"1596535050262106114","Mon Nov 28 07:07:25 +0000 2022","0","@LocalOnichan @nafshx @mitawl_ @stormysea__ Lohh situ dukung org yg maksa2 buat bawa atribut pelangi itu itu namanya mengintervensi dong hak qatar dong nggak ngebolehin klo gk mengintervensi ngapain dukung org yg maksa2 pengen bawa atribut pelangi","1597124992054927360","","LocalOnichan","in","","0","1","0","https://twitter.com/EZGoing9/status/1597124992054927360","1214910861640224769","EZGoing9"
"1596535050262106114","Mon Nov 28 06:33:33 +0000 2022","0","@NBI20989666 @chinchiparrilla @stormysea__ @nafshx Iya tidak boleh kenapa pada mau pake? Karena LGBT di Qatar itu di diskriminasi sampai bisa penjara atribut pelangi itu bentuk solidaritas mereka ke orang LGBT di Qatar","1597116467832840192","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/LocalOnichan/status/1597116467832840192","1235656704013950976","LocalOnichan"
"1596535050262106114","Mon Nov 28 06:31:52 +0000 2022","0","@mitawl_ @stormysea__ @nafshx Orang LGBT Qatar itu bener bener dipenjara karena mereka Gay itu lebih ringan dari gk pake atribut? itu masalahnya kenapa banyak yang mau pake atribut pelangi. Itu alasan kenapa yang LGBT pake pelangi","1597116045378326528","","mitawl_","in","Jakarta Capital Region","0","1","0","https://twitter.com/LocalOnichan/status/1597116045378326528","1235656704013950976","LocalOnichan"
"1596535050262106114","Mon Nov 28 06:27:40 +0000 2022","0","@mitawl_ @nafshx @stormysea__ Yang gw maksud berhubungan itu atribut LGBT dan diskriminasi LGBT di Qatar lo tau kalo pelangi itu simbol solidaritas orang LGBT dan karena LGBT di diskriminasi di Qatar banyak yang mau pake atribut untuk nunjukin kalo mereka bersolidaritas dengan LGBT di Qatar","1597114988451483648","","mitawl_","in","Jakarta Capital Region","0","1","0","https://twitter.com/LocalOnichan/status/1597114988451483648","1235656704013950976","LocalOnichan"
"1597114819752366084","Mon Nov 28 06:27:01 +0000 2022","0","Silogismenya jika Qatar close minded melarang atribut pelangi maka sebaiknya Qatar gak membuka diri jadi tuan rumah Piala Dunia yang mana kontestannya dari negara-negara maju atau bahkan liberal. Jadi konsekuensi logisnya jelas bisa diantisipasi.","1597114823208505344","","anggaserviam","in","","0","0","0","https://twitter.com/anggaserviam/status/1597114823208505344","1382279455872143363","anggaserviam"
"1596535050262106114","Mon Nov 28 06:09:45 +0000 2022","0","@mitawl_ @stormysea__ @nafshx Gay bisa dipenjara selama 7 tahun di Qatar itu kenapa banyak yang pro-lgbt pada bawa baju pelangi","1597110479566286848","","mitawl_","in","Jakarta Capital Region","0","2","0","https://twitter.com/LocalOnichan/status/1597110479566286848","1235656704013950976","LocalOnichan"
"1597023171844374529","Mon Nov 28 06:07:02 +0000 2022","0","@diantikaprames @rcahyantari Di menyesalkan knp Qatar diskriminatif sama kaum pelangi katanya hrs nerima segala perbedaan jgn diskriminasi sama kaum minoritas. Soalnya kaum2 open minded kayak merekalah yg bisa nerima muslim (sbg minoritas) kalau di luar negeri. Begitulah kurang lebih..","1597109795408183297","","diantikaprames","in","","0","1","0","https://twitter.com/RadenIsma/status/1597109795408183297","60546505","RadenIsma"
"1597084913416933376","Mon Nov 28 04:59:36 +0000 2022","0","@jangjeyu @xiwangfu sedih banget ga sih kayak aku nih LGBT yang B trus liat orang2 debat a b c d kayak lu semua paham ga sih yg diomongin? trus perihal Qatar melarang yah karena aku ngerasa aku g bakal kesana ya udah tapi liat barat ngamuk2 sampe maksa nampilin pelangi bikin enek.","1597092822909583360","","zeyunming","in","https://tellonym.me/user.17460","0","1","0","https://twitter.com/fujoshi232/status/1597092822909583360","1060536869635600384","fujoshi232"
"1597067455842902018","Mon Nov 28 03:18:48 +0000 2022","0","Bener nyuruh orang open minded tentang pelangi tp gak mau open minded sama hal2 lain. Contohnya yg di Qatar ini. Itu sama aja mereka close minded juga gak mau open minded sama culture negara lain. Kaum egois kata gue.","1597067455842902018","","","in","","0","0","0","https://twitter.com/alleychee/status/1597067455842902018","1256480887","alleychee"
